City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vila franca do campo,37.7167,-25.4333,68.88,99,95,14.65,PT,1699415185
83,concepcion,-36.827,-73.0498,48.16,92,1,5.82,CL,1699415185
84,longyearbyen,78.2186,15.6401,19.24,93,100,1.14,SJ,1699415186
85,uturoa,-16.7333,-151.4333,77.7,78,69,23.85,PF,1699415186
86,kalevala,65.2,31.1667,31.08,96,100,5.01,RU,1699415186
87,crane,31.3974,-102.3501,71.11,42,0,12.19,US,1699415186
88,ribeira grande,38.5167,-28.7,68.77,96,100,15.99,PT,1699415186
89,enewetak,11.3474,162.3373,83.05,78,27,18.37,MH,1699415187
90,saipan,15.1355,145.701,88.5,66,20,13.8,MP,1699415187
91,poronaysk,49.2167,143.1167,34.34,76,26,10.96,RU,1699415187
92,charkhari,25.4,79.75,81.16,33,2,6.6,IN,1699415187
93,whitehorse,60.7161,-135.0538,30.97,74,40,10.36,CA,1699415187
94,vadso,70.0744,29.7487,32.16,93,75,10.36,NO,1699415188
95,san patricio,28.017,-97.5169,75.83,78,99,12.59,US,1699415188
96,pocone,-16.2567,-56.6228,85.3,50,100,6.38,BR,1699415188
97,dudinka,69.4058,86.1778,18.63,92,100,28.99,RU,1699415188
98,hashtrud,37.4779,47.0508,45.34,82,5,3.36,IR,1699415189
99,schkeuditz,51.4,12.2167,47.91,80,75,16.11,DE,1699415082
100,hermanus,-34.4187,19.2345,55.9,71,4,3.18,ZA,1699415189
101,udachny,66.4167,112.4,3.45,84,79,3.83,RU,1699415189
102,petropavlovsk-kamchatsky,53.0452,158.6483,27.19,73,100,21.0,RU,1699415062
103,douentza,14.9951,-2.9517,79.61,19,33,4.34,ML,1699415190
104,vorgashor,67.5833,63.95,33.6,100,100,8.63,RU,1699415190
105,bilibino,68.0546,166.4372,0.03,99,100,0.94,RU,1699415190
106,kodiak,57.79,-152.4072,36.91,87,100,0.0,US,1699415190
107,invercargill,-46.4,168.35,57.02,67,96,11.01,NZ,1699415191
108,avarua,-21.2078,-159.775,75.25,60,20,17.27,CK,1699415191
109,afaahiti,-17.75,-149.2833,80.47,83,100,22.64,PF,1699415191
110,auki,-8.7676,160.7034,80.78,85,95,3.6,SB,1699415191
111,farsan,32.2569,50.561,30.24,41,0,2.64,IR,1699415192
112,aquiraz,-3.9014,-38.3911,82.18,80,61,10.78,BR,1699415192
113,afega,-13.7973,-171.8531,86.0,84,75,10.36,WS,1699415192
114,bonthe,7.5264,-12.505,78.84,87,60,5.55,SL,1699415193
115,tutoia,-2.7619,-42.2744,80.11,78,83,14.14,BR,1699415193
116,the pas,53.8251,-101.2541,30.22,93,100,4.61,CA,1699415193
117,khovd,48.0056,91.6419,22.12,53,5,2.17,MN,1699415193
118,aasiaat,68.7098,-52.8699,17.47,83,100,4.38,GL,1699415194
119,carnarvon,-24.8667,113.6333,77.5,53,0,11.99,AU,1699415002
120,ghat,24.9647,10.1728,68.56,19,7,4.7,LY,1699415194
121,hasaki,35.7333,140.8333,66.6,57,10,14.58,JP,1699415195
122,ceerigaabo,10.6162,47.368,61.74,50,84,5.95,SO,1699415195
123,mogok,22.9167,96.5,76.15,52,9,2.19,MM,1699415196
124,kudahuvadhoo,2.6708,72.8944,81.72,74,24,7.56,MV,1699415196
125,fuente obejuna,38.2667,-5.4167,45.72,87,99,2.53,ES,1699415196
126,kepno,51.2784,17.9891,46.8,79,86,8.43,PL,1699415196
127,pisco,-13.7,-76.2167,66.25,82,0,13.8,PE,1699415197
128,lihue,21.9789,-159.3672,83.44,75,40,14.97,US,1699415145
129,st. john's,47.5649,-52.7093,42.89,87,100,21.85,CA,1699415197
130,anuradhapura,8.3565,80.4173,84.34,72,74,2.35,LK,1699415197
131,rio grande,-32.035,-52.0986,65.95,91,14,15.7,BR,1699415198
132,high rock,26.6208,-78.2833,69.82,78,0,10.6,BS,1699415198
133,sakaiminato,35.55,133.2333,66.18,55,75,6.91,JP,1699415009
134,nagqu,31.5,92.0,23.7,58,75,1.68,CN,1699415198
135,qaqortoq,60.7167,-46.0333,35.44,60,100,2.13,GL,1699415198
136,el granada,37.5027,-122.4694,59.81,82,0,11.5,US,1699415199
137,undurkhaan,47.3194,110.6556,6.33,81,87,7.65,MN,1699415199
138,cidreira,-30.1811,-50.2056,65.1,91,1,16.67,BR,1699415199
139,baihe,22.15,107.2333,80.58,66,96,2.68,CN,1699415199
140,ola,59.5833,151.2833,11.37,70,8,11.65,RU,1699415200
141,mount pearl,47.5166,-52.7813,42.06,87,100,21.85,CA,1699415200
142,boa vista,2.8197,-60.6733,78.78,78,20,3.44,BR,1699415200
143,talnakh,69.4865,88.3972,18.21,92,100,20.27,RU,1699415200
144,colonia,50.9333,6.95,49.42,80,75,8.05,DE,1699414980
145,esmeraldas,-19.7625,-44.3139,68.86,76,0,8.1,BR,1699415202
146,pitkyaranta,61.5734,31.4792,37.51,96,100,7.02,RU,1699415203
147,bokhan,53.153,103.7714,17.89,74,85,13.76,RU,1699415203
148,jamestown,42.097,-79.2353,42.39,80,100,12.66,US,1699415203
149,port mathurin,-19.6833,63.4167,76.62,73,57,13.09,MU,1699415204
150,fortuna,40.5982,-124.1573,52.66,94,0,8.05,US,1699415204
151,inebolu,41.9747,33.7608,62.73,58,24,5.93,TR,1699415204
152,lompoc,34.6391,-120.4579,57.78,79,0,18.01,US,1699415204
153,geraldton,-28.7667,114.6,79.21,57,6,14.97,AU,1699415205
154,coahuayana de hidalgo,18.7,-103.6583,78.31,93,35,2.1,MX,1699415205
155,acarau,-2.8856,-40.12,79.36,77,26,12.95,BR,1699415205
156,baoshan,46.5586,131.4244,25.84,75,53,4.63,CN,1699415206
157,choyr,46.3611,108.3611,7.59,76,16,13.49,MN,1699415206
158,sandnessjoen,66.0217,12.6316,28.92,71,80,4.47,NO,1699415206
159,lufilufi,-13.8745,-171.5986,85.78,83,97,13.27,WS,1699415206
160,colares,38.7992,-9.4469,59.32,83,97,18.01,PT,1699415206
161,selfoss,63.9331,-20.9971,35.92,57,65,17.2,IS,1699415207
162,brandon,27.9378,-82.2859,70.03,79,0,3.44,US,1699415207
163,praia da vitoria,38.7333,-27.0667,68.25,94,75,15.03,PT,1699415207
164,mkushi,-13.6202,29.3939,70.11,72,100,2.73,ZM,1699415207
165,pitimbu,-7.4706,-34.8086,75.79,80,50,9.78,BR,1699415208
166,chonchi,-42.6128,-73.8092,49.21,98,97,2.73,CL,1699415208
167,petrolia,42.8668,-82.1498,39.02,87,100,11.5,CA,1699415208
168,portage la prairie,49.9728,-98.2926,35.11,73,100,13.76,CA,1699415208
169,east london,-33.0153,27.9116,59.94,82,0,5.75,ZA,1699415120
170,fale old settlement,-9.3852,-171.2468,84.54,69,87,10.2,TK,1699415209
171,novyy urgal,51.0736,132.5642,23.83,66,100,0.96,RU,1699415209
172,san antonio de pale,-1.4014,5.6325,78.69,79,74,11.79,GQ,1699415209
173,punta arenas,-53.15,-70.9167,37.51,60,0,6.91,CL,1699415209
174,panchagarh,26.3313,88.562,77.67,55,0,1.32,BD,1699415210
175,mil'kovo,55.6078,37.7956,45.34,90,99,9.78,RU,1699415210
176,laojunmiao,39.8333,97.7333,38.08,30,100,6.85,CN,1699415210
177,mammoth lakes,37.6485,-118.9721,32.72,70,100,10.36,US,1699415210
178,tikhvin,59.6451,33.5294,43.21,97,98,6.26,RU,1699415211
179,prado,-17.3411,-39.2208,74.55,58,99,7.43,BR,1699415211
180,chernyshevskiy,63.0128,112.4714,5.83,89,75,2.86,RU,1699415211
181,malvan,16.0667,73.4667,81.25,76,99,5.79,IN,1699415042
182,mugia,43.1041,-9.2179,60.17,91,100,27.63,ES,1699415212
183,dunda,-8.1167,34.25,70.86,69,42,1.83,TZ,1699415212
184,haiku-pauwela,20.9219,-156.3051,80.62,70,40,10.36,US,1699415212
185,las heras,-46.5419,-68.9359,48.51,53,6,16.78,AR,1699415212
186,seryshevo,51.0933,128.3786,17.17,75,100,10.4,RU,1699415213
187,n'dalatando,-9.2978,14.9116,68.02,97,100,1.92,AO,1699415213
188,bedford,52.1346,-0.4663,44.58,92,100,10.94,GB,1699415213
189,port macquarie,-31.4333,152.9167,75.88,62,4,15.7,AU,1699415115
190,remire-montjoly,4.9167,-52.2667,77.04,100,75,1.14,GF,1699415066
191,sao joao da barra,-21.6403,-41.0511,68.9,71,3,4.68,BR,1699415214
192,masterton,-40.9597,175.6575,61.88,50,91,9.01,NZ,1699415214
193,mount gambier,-37.8333,140.7667,68.94,47,98,7.67,AU,1699415074
194,chom thong,18.4174,98.6743,87.4,71,24,2.42,TH,1699415214
195,sabang,5.8933,95.3214,82.04,75,100,5.97,ID,1699415215
196,hithadhoo,-0.6,73.0833,81.21,77,100,9.28,MV,1699415215
197,sake,-1.5736,29.045,62.08,95,59,0.16,CD,1699415215
198,suntar,62.1444,117.6319,2.01,86,69,3.87,RU,1699415215
199,hami,42.8,93.45,43.34,26,4,11.99,CN,1699415216
200,nantucket,41.2835,-70.0995,55.54,73,0,19.57,US,1699415216
201,jiujiang,29.7333,115.9833,65.43,59,97,4.03,CN,1699415216
202,irymple,-34.25,142.1667,92.08,35,100,5.97,AU,1699415216
203,nuuk,64.1835,-51.7216,32.61,51,100,11.5,GL,1699414995
204,yellowknife,62.456,-114.3525,21.42,100,100,6.91,CA,1699415217
205,pacific grove,36.6177,-121.9166,56.66,84,0,3.44,US,1699415217
206,pathein,16.7833,94.7333,87.13,66,53,5.03,MM,1699415217
207,smithers,54.7804,-127.1743,34.12,93,75,3.44,CA,1699415217
208,bantay,17.5847,120.3892,84.96,72,45,2.44,PH,1699415218
209,savanna-la-mar,18.219,-78.1332,82.35,90,91,6.24,JM,1699415218
210,prince rupert,54.3161,-130.3201,46.09,91,100,19.57,CA,1699415218
211,ketchikan,55.3422,-131.6461,46.87,93,100,6.91,US,1699415218
212,dalandzadgad,43.5708,104.425,18.05,37,43,8.43,MN,1699415218
213,santa rosalia,27.3167,-112.2833,77.49,41,2,7.99,MX,1699415219
214,callao,-12.0667,-77.15,68.72,82,75,13.8,PE,1699415184
215,mar del plata,-38.0023,-57.5575,62.62,86,0,9.22,AR,1699415063
216,buncrana,55.1333,-7.45,47.17,90,100,22.32,IE,1699415220
217,la passe,45.5549,-0.8967,48.43,81,99,7.07,FR,1699415220
218,thunder bay,48.4001,-89.3168,31.98,69,100,13.8,CA,1699415220
219,boende,-0.2167,20.8667,71.6,99,89,2.21,CD,1699415221
220,troitskoye,52.9821,84.6757,27.21,93,71,5.19,RU,1699415221
